id,created_on,operation,property_type,neighbourhood,lat,lon,price,surface_total_in_m2,surface_covered_in_m2,floor,rooms,expenses
a99f9aba7d338dcfae2197c1509f7d68d8d71402,2017-09-02,sell,apartment,Recoleta,-34.5946303,-58.3930524,670000,246,246,,5,
184bf13c10409b900184f63bdbbed8e1cf6a32d0,2017-09-02,sell,apartment,Recoleta,-34.5971060961,-58.3925570814,1068480,186,150,,4,
dbaea5ba28bad683981cd94c709291b839074acd,2017-09-02,sell,apartment,Flores,-34.6344825,-58.466376,86900,39,36,,1,
2069e64ecacae98951672dc8910fe191b945022b,2017-09-02,sell,apartment,Palermo,-34.5925314,-58.4178626,620000,230,198,,6,
bf03b0beac6bec98c6c32cc7719698ae9977a4b3,2017-09-02,sell,apartment,Palermo,-34.5747031,-58.4378511,368000,87,77,,3,
3823818bc28ecb64734cfdeb4d09638ba2095223,2017-09-02,sell,apartment,Almagro,-34.6132522,-58.4132729,115000,97,80,,3,
dae0cb82ae2c5efdf9f3b021da1d5624a9a29cb3,2017-09-02,sell,house,Floresta,-34.6332703,-58.477521,180000,,134,,,
f2b0047e0c80f2cb75e527054279c420113982c7,2017-09-02,sell,apartment,Recoleta,-34.593724,-58.4006982,320000,105,95,,4,7000
a98e462c67add95d90ab0aac784efc76cd363bb1,2017-09-03,sell,apartment,Flores,-34.633879,-58.452995,199000,84,84,,4,
14b135d6eb6399c9484e0043e4c23ba5f76173fc,2017-09-03,sell,PH,Mataderos,-34.660841,-58.481617,249500,323,220,1,7,
52994ee7692f5b690a4eb63340a7387632f8a19d,2017-09-03,sell,apartment,Floresta,-34.629973,-58.485652,76000,50,50,,2,
c8f0b7745e9d545e98ea01ea89f85b428fb7456d,2017-09-03,sell,house,Villa General Mitre,-34.618906,-58.468595,498500,328,200,,5,
7480bddffbf5a4064cbadbe47431d3c97cee7cd7,2017-09-03,sell,house,Villa Devoto,-34.598402,-58.510952,2070000,675,675,,7,
3aeafdb716afc2b8053099da7b1b11f466fd225e,2017-09-03,sell,apartment,Villa Devoto,-34.600256,-58.513484,629000,222,222,12,5,
0dc1e84bd8092fe0e36ec079c25f4cea14128376,2017-09-03,sell,apartment,Balvanera,-34.6102298,-58.4055286,70000,39,38,,,1484
6de98b3da73e09e9c4e9e47c228820e273a084ea,2017-09-03,sell,apartment,Balvanera,-34.6105159,-58.4100134,120000,74,70,,,
b6420be0f6bed0068fbfd6da04d919fc18e280f9,2017-09-03,sell,apartment,Caballito,-34.6282149,-58.4371396,,80,70,,,
343f730409c87323b31ab019e4e1de2277c9a55f,2017-09-03,sell,apartment,Palermo,-34.5874885,-58.41578,345000,119,116,,,
c3e79f06e9ef081e5987e0d50fda95ddef944118,2017-09-03,sell,house,Boedo,-34.608719,-58.389118,100000,,,,,
4d9be5456258ca6082d474c6c88199b91366eef3,2017-09-03,sell,apartment,Caballito,-34.6282149,-58.4371396,,80,70,,,
1ffabb5a389390a8366e7b50594fedc2844f5b99,2017-09-03,sell,apartment,Monte Castro,-34.625232,-58.504766,134900,45,,,,
46c44c88ff50104a8966942787bb5d288eaeeaa6,2017-09-03,sell,PH,Villa del Parque,-34.6113967,-58.4760131,138000,67,65,,,
08ad981a202bd9652bc1569a6a4f97b735e556e8,2017-09-03,sell,apartment,Almagro,-34.6046207,-58.4244629,107000,63,46,,,
79e0b963fc78cda7f86f842ed07775f4c876c772,2017-09-03,sell,apartment,Retiro,-34.597536,-58.375194,330000,110,110,,,
212768fe66a9cc7d3bf9443ea249e296653009df,2017-09-03,sell,apartment,Barracas,-34.629818,-58.370766,137999,67,65,,,
f46fa2ef729ef89721e02b5bc19867dd9869cb29,2017-09-03,sell,PH,San Nicolás,-34.6058824,-58.4217798,137900,76,64,,,
b900392dd580a891acc5cd4b99ad83316559b428,2017-09-03,sell,apartment,San Nicolás,-34.6077785,-58.3888704,352000,225,125,,,
babf81164985e5185bafbe538f83520358cf2a65,2017-09-03,sell,apartment,Almagro,-34.6063806,-58.4034895,220000,125,120,,,
c9f6592dee7f92533ccd34baaa487574cf061176,2017-09-03,sell,apartment,Puerto Madero,-34.6110418,-58.3626056,1000000,140,140,,4,
c417880aec27907e45982eeeaee554fc06957452,2017-09-03,sell,apartment,Recoleta,-34.5971060961,-58.3925570814,557021,138,101,,4,
2ebb520460416d407675ef7e2347e87146e3c3c5,2017-09-03,sell,apartment,Boca,-34.6373554,-58.3610392,120000,60,60,,3,
9baed0863adec18cb1880d2ddd833e0f969426ae,2017-09-03,sell,apartment,Nuñez,-34.5479263,-58.4562118,2300000,426,286,,6,
c88b50c11cfaa738c32bc0d91ba21389e3bc7933,2017-09-03,sell,apartment,Villa Urquiza,-34.5746019,-58.4848085,100000,43,43,,1,
048337326687f635bd67a6a19f5563675ef5d43c,2017-09-03,sell,apartment,Palermo Soho,,,285000,53,43,,2,
ffe806162dd388521e36f12e64d99bead1158fdb,2017-09-03,sell,apartment,Retiro,-34.5974255,-58.3742651,125000,54,54,,2,
cd8dc2d5a6e02d4215a41a2c09c3c2e6a31b2e64,2017-09-03,sell,apartment,San Cristobal,-34.6163210603,-58.4069766371,110000,57,57,,3,
71c1a8e1a861628eb1dea9c7b43af6655a05e3be,2017-09-04,sell,house,Palermo,-34.567097,-58.436086,595000,208,190,,6,
9096751d05c2b823c9f81e1e944550ea9198480c,2017-09-04,sell,house,Flores,-34.627275,-58.46662,350000,100,220,,6,
59dc1c46488377b8c950471285a180af82e75560,2017-09-04,sell,apartment,Once,-34.609546,-58.40169,139000,82,82,,3,
b31a836251cd333a7c0788d1b21b5fa4b16dc2fa,2017-09-04,sell,PH,Villa Devoto,-34.603039,-58.517022,259900,110,69,3,4,
36e04b8394f0395060c2ac419a61f274dd4d6da1,2017-09-04,sell,house,Mataderos,-34.6594358955,-58.5101514427,209000,303,150,,6,
0fa55221b876bccc3f095def6adf5243470ab4b4,2017-09-04,sell,apartment,Palermo,-34.584294,-58.436469,80119,39,34,1,1,
fe815ebb5ad0aa88cc70b16d26f0e42af09395cf,2017-09-04,sell,apartment,Palermo,-34.584294,-58.436469,95085,43,37,1,1,
24afe0ce11d77c077057717c649472a3569e4d80,2017-09-04,sell,apartment,Puerto Madero,-34.6148198526,-58.3622694266,1099000,147,147,,3,
a2da88e6b687c681c7d12ae463193650b50bb607,2017-09-04,sell,apartment,Villa Crespo,-34.605413,-58.45499,88700,51,34,,1,
8b0aa2ed14b21e3e1ef1457e3e19e6aa471b3b55,2017-09-04,sell,apartment,San Nicolás,-34.6053805,-58.3877981,130000,70,,,,
000ddb8a1db9acf146f0e680f30dcf051a919847,2017-09-04,sell,apartment,San Telmo,-34.6216948,-58.3713044,32000,37,,,1,
4026a96e20618f10f5810fabe7b3e00631d5d4b8,2017-09-04,sell,apartment,Palermo,-34.5972454,-58.4201324,140000,53,50,,2,
83035672dfac4f2cf965e429f83b3ed120f0baee,2017-09-04,sell,apartment,Palermo,-34.5733973,-58.421747,500000,110,105,,3,
06dd5979def84056e25ae21b6e595098a4009052,2017-09-04,sell,apartment,Palermo,-34.5711496,-58.4232966,190000,66,61,,2,
c78d1100b631e419c34909ac5984efb364e1adfe,2017-09-04,sell,apartment,Palermo,-34.5711496,-58.4232966,220000,66,61,,2,
74f1fd6eaef3ef081ecd195aa340cd94c4d770d5,2017-09-04,sell,apartment,Palermo,-34.5711496,-58.4232966,220000,66,61,,2,
145fe9df6b8ad0de4623c6446fe3c63235f343af,2017-09-04,sell,apartment,Palermo Hollywood,-34.5830831,-58.4481086,,44,44,,1,
a116809067019c2849e2a7308e13c32eb7486759,2017-09-04,sell,apartment,Palermo,-34.5972454,-58.4201324,105000,40,38,,1,
364011dc257c43fc510e8929371b6822085ac034,2017-09-04,sell,apartment,Palermo,-34.5972454,-58.4201324,105000,40,38,,1,
62be96454b8f99db19276312b76edc943482e80a,2017-09-04,sell,apartment,Palermo,-34.5711496,-58.4232966,220000,66,61,,2,
3438cf11e54b8343ada129be02ac9c5715430d35,2017-09-04,sell,apartment,Palermo,-34.5711496,-58.4232966,190000,66,61,,2,
11fe272d8185b3ec90beefa26b9afe42b07c39a6,2017-09-04,sell,apartment,Palermo,-34.5733973,-58.421747,530000,110,105,,3,
41fd2203cc2404a41386b6a6078d6ec18afae366,2017-09-04,sell,apartment,Villa Crespo,-34.5976786,-58.4430195,195000,79,73,,4,
d92ba9046dd1291b054360225690fb2928ff3ee9,2017-09-04,sell,apartment,Palermo,-34.5972454,-58.4201324,105000,40,38,,1,
cd1bebd2068c5e4b96373114a5161ff0c3bfde12,2017-09-04,sell,apartment,Las Cañitas,-34.5711496,-58.4232966,640000,260,240,,5,
c9330723848454e460ed52821fc311cd5f0312e9,2017-09-04,sell,apartment,Palermo,-34.5896728,-58.4063088,270000,54,54,,2,
c7d8f8702cba4a58f28699fa11ee03034d204db1,2017-09-04,sell,apartment,Las Cañitas,-34.5711496,-58.4232966,640000,260,240,,5,
661d2383c08390e496216f28acbe10a4475b20b9,2017-09-04,sell,apartment,Palermo,-34.5733973,-58.421747,500000,110,105,,3,
